Player,Position,Date of Birth,Age,Caps,Team,Year
Scott Cummings,Lock,1996-12-03,24,17,Scotland,2021
Grant Gilchrist,Lock,1990-08-09,30,42,Scotland,2021
Jonny Gray,Lock,1994-03-14,26,61,Scotland,2021
Richie Gray,Lock,1989-08-24,31,65,Scotland,2021
Matt Fagerson,Back row,1998-07-16,22,9,Scotland,2021
Gary Graham,Back row,1992-08-29,28,2,Scotland,2021
Jamie Ritchie,Back row,1996-08-16,24,23,Scotland,2021
Blade Thomson,Back row,1990-12-04,30,9,Scotland,2021
Hamish Watson,Back row,1991-10-15,29,36,Scotland,2021
Ali Price,Scrum-half,1993-03-12,27,37,Scotland,2021
Scott Steele,Scrum-half,1993-07-24,27,1,Scotland,2021
Finn Russell,Fly-half,1992-09-23,28,51,Scotland,2021
Jaco van der Walt,Fly-half,1994-02-01,27,1,Scotland,2021
Chris Harris,Centre,1990-12-28,30,23,Scotland,2021
Huw Jones,Centre,1993-12-17,27,26,Scotland,2021
James Lang,Centre,1995-04-04,25,5,Scotland,2021
Cameron Redpath,Centre,1999-12-23,21,0,Scotland,2021
Duncan Taylor,Centre,1989-09-05,31,23,Scotland,2021
Darcy Graham,Wing,1997-06-21,23,15,Scotland,2021
Sean Maitland,Wing,1988-07-14,32,50,Scotland,2021
Byron McGuigan,Wing,1989-08-20,31,10,Scotland,2021
Duhan van der Merwe,Wing,1995-06-04,25,5,Scotland,2021
Stuart Hogg (c),Fullback,1992-06-24,28,80,Scotland,2021
Blair Kinghorn,Fullback,1997-01-18,24,25,Scotland,2021
Jamie Bhatti,Prop,1993-09-08,27,16,Scotland,2021
D'Arcy Rae,Prop,1994-12-21,26,1,Scotland,2021
Alex Samuel,Lock,1995-09-20,26,0,Scotland,2021
Sam Skinner,Lock,1995-01-31,26,10,Scotland,2021
Max Williamson,Lock,2001-01-01,20,0,Scotland,2021
Josh Bayliss,Back row,1997-09-18,23,0,Scotland,2021
Rory Darge,Back row,2000-02-23,21,0,Scotland,2021
Cornell du Preez,Back row,1991-03-23,29,9,Scotland,2021
Nick Haining,Back row,1990-09-01,30,5,Scotland,2021
Rob Harley,Back row,1990-05-26,30,22,Scotland,2021
Ally Miller,Back row,1996-05-10,24,0,Scotland,2021
Ben Muncaster,Back row,2001-10-14,19,0,Scotland,2021
Charlie Shiel,Scrum-half,1997-12-03,23,0,Scotland,2021
Adam Hastings,Fly-half,1996-10-05,24,22,Scotland,2021
Matt Currie,Centre,2001-02-22,19,0,Scotland,2021
Sam Johnson,Centre,1993-06-19,27,15,Scotland,2021
George Taylor,Centre,1996-11-24,24,0,Scotland,2021
Damien Hoyland,Fullback,1994-01-11,27,4,Scotland,2021
Elliot Dee,Hooker,1994-03-07,26,32,Wales,2021
Ryan Elias,Hooker,1995-01-07,26,13,Wales,2021
Ken Owens,Hooker,1987-01-03,34,77,Wales,2021
Leon Brown,Prop,1996-10-26,24,12,Wales,2021
Rhys Carré,Prop,1998-02-08,22,12,Wales,2021
Tomas Francis,Prop,1992-04-27,28,52,Wales,2021
Wyn Jones,Prop,1992-02-26,28,30,Wales,2021
Dillon Lewis,Prop,1996-01-04,25,40,Wales,2021
Jake Ball,Lock,1991-06-21,29,49,Wales,2021
Adam Beard,Lock,1996-01-07,25,21,Wales,2021
Cory Hill,Lock,1992-02-10,28,29,Wales,2021
Alun Wyn Jones (c),Lock,1985-09-19,35,143,Wales,2021
Will Rowlands,Lock,1991-09-19,29,5,Wales,2021
Taulupe Faletau,Back row,1990-11-12,30,81,Wales,2021
Dan Lydiate,Back row,1987-12-18,33,62,Wales,2021
Josh Macleod,Back row,1996-10-27,24,0,Wales,2021
Josh Navidi,Back row,1990-12-30,30,24,Wales,2021
Justin Tipuric,Back row,1989-08-06,31,80,Wales,2021
Aaron Wainwright,Back row,1997-09-25,23,27,Wales,2021
Gareth Davies,Scrum-half,1990-08-18,30,57,Wales,2021
Kieran Hardy,Scrum-half,1995-11-30,25,2,Wales,2021
Tomos Williams,Scrum-half,1995-01-01,26,20,Wales,2021
Dan Biggar,Fly-half,1989-10-16,31,87,Wales,2021
Jarrod Evans,Fly-half,1995-07-25,25,6,Wales,2021
Callum Sheedy,Fly-half,1995-10-28,25,4,Wales,2021
Jonathan Davies,Centre,1988-04-05,32,85,Wales,2021
Nick Tompkins,Centre,1995-02-16,25,8,Wales,2021
Owen Watkin,Centre,1996-10-12,24,23,Wales,2021
Johnny Williams,Centre,1996-10-18,24,2,Wales,2021
Josh Adams,Wing,1995-04-21,25,29,Wales,2021
George North,Wing,1992-04-13,28,98,Wales,2021
Louis Rees-Zammit,Wing,2001-02-02,20,4,Wales,2021
Hallam Amos,Fullback,1994-09-24,26,22,Wales,2021
Leigh Halfpenny,Fullback,1988-12-22,32,93,Wales,2021
Liam Williams,Fullback,1991-04-09,29,67,Wales,2021
Luke Cowan-Dickie,Hooker,1993-06-20,26,21,England,2020
Tom Dunn,Hooker,1992-11-12,27,0,England,2020
Jamie George,Hooker,1990-10-20,29,45,England,2020
Beno Obano,Prop,1994-10-25,25,0,England,2020
Ellis Genge,Prop,1995-02-16,24,14,England,2020
Joe Marler,Prop,1990-07-07,29,68,England,2020
Kyle Sinckler,Prop,1993-03-30,26,31,England,2020
Will Stuart,Prop,1996-07-12,23,0,England,2020
Mako Vunipola,Prop,1991-01-14,29,58,England,2020
Harry Williams,Prop,1991-10-01,28,18,England,2020
Charlie Ewels,Lock,1995-06-29,24,12,England,2020
George Kruis,Lock,1990-02-22,29,41,England,2020
Joe Launchbury,Lock,1991-04-12,28,62,England,2020
Courtney Lawes,Lock,1989-02-23,30,81,England,2020
Maro Itoje,Lock,1994-10-28,25,34,England,2020
Alexander Moon,Lock,1996-09-06,23,0,England,2020
Ted Hill,Back row,1999-03-26,20,1,England,2020
Tom Curry,Back row,1998-06-15,21,19,England,2020
Ben Earl,Back row,1998-01-07,22,0,England,2020
Lewis Ludlam,Back row,1995-12-08,24,6,England,2020
Sam Underhill,Back row,1996-07-22,23,15,England,2020
Willi Heinz,Scrum-half,1986-11-24,33,9,England,2020
Ben Youngs,Scrum-half,1989-09-05,30,95,England,2020
Owen Farrell,Fly-half,1991-09-24,28,79,England,2020
George Ford,Fly-half,1993-03-16,26,65,England,2020
Jacob Umaga,Fly-half,1998-07-08,21,0,England,2020
Ollie Devoto,Centre,1993-09-22,26,1,England,2020
Fraser Dingwall,Centre,1999-04-07,20,0,England,2020
Jonathan Joseph,Centre,1991-05-21,28,47,England,2020
Manu Tuilagi,Centre,1991-05-18,28,40,England,2020
Ollie Thorley,Wing,1996-09-11,23,0,England,2020
Jonny May,Wing,1990-04-01,29,52,England,2020
Anthony Watson,Wing,1994-02-26,25,42,England,2020
Elliot Daly,Fullback,1992-10-08,27,39,England,2020
George Furbank,Fullback,1996-10-17,23,0,England,2020
Camille Chat,Hooker,1995-12-18,24,26,France,2020
Anthony Étrillard,Hooker,1993-03-21,26,0,France,2020
Julien Marchand,Hooker,1995-05-10,24,2,France,2020
Dorian Aldegheri,Prop,1993-08-04,26,4,France,2020
Cyril Baille,Prop,1993-09-15,26,17,France,2020
Demba Bamba,Prop,1998-03-17,21,7,France,2020
Jean-Baptiste Gros,Prop,1999-05-29,20,0,France,2020
Mohamed Haouas,Prop,1994-06-09,25,0,France,2020
Jefferson Poirot,Prop,1992-11-01,27,33,France,2020
Cyril Cazeaux,Lock,1995-02-10,24,0,France,2020
Kilian Geraci,Lock,1999-03-25,20,0,France,2020
Bernard Le Roux,Lock,1989-06-04,30,37,France,2020
Boris Palu,Lock,1996-02-04,23,0,France,2020
Romain Taofifénua,Lock,1990-09-14,29,14,France,2020
Paul Willemse,Lock,1992-11-13,27,5,France,2020
Gregory Alldritt,Back row,1997-03-23,22,11,France,2020
Dylan Cretin,Back row,1997-05-04,22,0,France,2020
François Cros,Back row,1994-03-25,25,2,France,2020
Alexandre Fischer,Back row,1998-01-19,22,0,France,2020
Sekou Macalou,Back row,1995-04-20,24,2,France,2020
Charles Ollivon (c),Back row,1993-05-11,26,11,France,2020
Selevasio Tolofua,Back row,1997-05-31,22,0,France,2020
Cameron Woki,Back row,1998-11-07,21,0,France,2020
Antoine Dupont,Scrum-half,1996-11-15,23,20,France,2020
Maxime Lucu,Scrum-half,1993-01-12,27,0,France,2020
Baptiste Serin,Scrum-half,1994-06-20,25,33,France,2020
Louis Carbonel,Fly-half,1999-02-04,20,0,France,2020
Matthieu Jalibert,Fly-half,1998-11-06,21,1,France,2020
Romain Ntamack,Fly-half,1999-05-01,20,12,France,2020
Gaël Fickou,Centre,1994-03-26,25,51,France,2020
Julien Hériteau,Centre,1994-01-12,26,0,France,2020
Virimi Vakatawa,Centre,1992-05-01,27,21,France,2020
Arthur Vincent,Centre,1999-09-30,20,0,France,2020
Gervais Cordin,Wing,1998-12-10,21,0,France,2020
Lester Etien,Wing,1995-06-21,24,0,France,2020
Gabriel N'Gandebe,Wing,1997-03-30,22,0,France,2020
Damian Penaud,Wing,1996-09-25,23,16,France,2020
Vincent Rattez,Wing,1992-03-24,27,3,France,2020
Teddy Thomas,Wing,1993-09-18,26,16,France,2020
Anthony Bouthier,Fullback,1992-06-19,27,0,France,2020
Kylan Hamdaoui,Fullback,1994-04-15,25,0,France,2020
Thomas Ramos,Fullback,1995-07-23,27,9,France,2020
Teddy Baubigny,Hooker,1998-09-02,21,0,France,2020
Peato Mauvaka,Hooker,1997-01-10,23,1,France,2020
Wilfrid Hounkpatin,Prop,1991-07-29,28,0,France,2020
Guillaume Ducat,Lock,1996-05-25,23,0,France,2020
Baptiste Delaporte,Back row,1997-03-27,22,0,France,2020
Alexandre Roumat,Back row,1997-06-27,22,0,France,2020
Yvan Reilhac,Centre,1995-06-09,24,0,France,2020
Alivereti Raka,Wing,1994-12-09,25,4,France,2020
Lucas Tauzin,Wing,1998-05-21,21,0,France,2020
Dave Heffernan,Hooker,1991-01-31,29,1,Ireland,2020
Rob Herring,Hooker,1990-04-27,29,8,Ireland,2020
Rónan Kelleher,Hooker,1998-01-21,22,0,Ireland,2020
Tadhg Furlong,Prop,1992-11-14,27,41,Ireland,2020
Cian Healy,Prop,1987-10-07,32,95,Ireland,2020
Dave Kilcoyne,Prop,1988-12-14,31,36,Ireland,2020
Jack McGrath,Prop,1989-10-11,30,56,Ireland,2020
Tom O'Toole,Prop,1998-09-23,21,0,Ireland,2020
Andrew Porter,Prop,1996-01-16,24,23,Ireland,2020
Ultan Dillane,Lock,1993-11-09,26,14,Ireland,2020
Iain Henderson,Lock,1992-02-21,27,53,Ireland,2020
James Ryan,Lock,1996-07-24,23,23,Ireland,2020
Devin Toner,Lock,1986-06-29,33,67,Ireland,2020
Will Connors,Back row,1996-04-04,23,0,Ireland,2020
Max Deegan,Back row,1996-10-01,23,0,Ireland,2020
Caelan Doris,Back row,1998-04-02,21,0,Ireland,2020
Jack O'Donoghue,Back row,1994-02-08,25,2,Ireland,2020
Peter O'Mahony,Back row,1989-09-17,30,64,Ireland,2020
CJ Stander,Back row,1990-04-05,29,38,Ireland,2020
Josh van der Flier,Back row,1993-04-25,26,23,Ireland,2020
John Cooney,Scrum-half,1990-05-01,29,8,Ireland,2020
Luke McGrath,Scrum-half,1993-02-03,26,19,Ireland,2020
Conor Murray,Scrum-half,1989-04-20,30,78,Ireland,2020
Billy Burns,Fly-half,1994-06-13,25,0,Ireland,2020
Ross Byrne,Fly-half,1995-04-08,24,3,Ireland,2020
Johnny Sexton (c),Fly-half,1985-07-11,34,88,Ireland,2020
Bundee Aki,Centre,1990-04-07,29,23,Ireland,2020
Chris Farrell,Centre,1993-03-16,26,9,Ireland,2020
Robbie Henshaw,Centre,1993-06-12,26,40,Ireland,2020
Stuart McCloskey,Centre,1992-08-06,27,3,Ireland,2020
Garry Ringrose,Centre,1995-01-26,25,28,Ireland,2020
Andrew Conway,Wing,1991-07-11,28,18,Ireland,2020
Keith Earls,Wing,1987-10-02,32,82,Ireland,2020
Dave Kearney,Wing,1989-06-19,30,19,Ireland,2020
Jacob Stockdale,Wing,1996-04-06,23,25,Ireland,2020
Will Addison,Fullback,1992-09-20,27,4,Ireland,2020
Jordan Larmour,Fullback,1997-06-10,22,21,Ireland,2020
Stuart McCloskey,Centre,1992-08-06,27,3,Ireland,2020
Will Connors,Back row,1996-04-04,23,0,Ireland,2020
Luca Bigi,Hooker,1991-04-19,28,24,Italy,2020
Oliviero Fabiani,Hooker,1990-07-03,29,10,Italy,2020
Federico Zani,Hooker,1989-04-09,30,13,Italy,2020
Pietro Ceccarelli,Prop,1992-02-16,27,9,Italy,2020
Danilo Fischetti,Prop,1998-01-26,22,0,Italy,2020
Andrea Lovotti,Prop,1989-07-28,30,41,Italy,2020
Marco Riccioni,Prop,1997-10-19,22,7,Italy,2020
Giosuè Zilocchi,Prop,1997-01-15,23,2,Italy,2020
Dean Budd,Lock,1986-07-31,33,26,Italy,2020
Niccolò Cannone,Lock,1998-05-17,21,0,Italy,2020
Federico Ruzza,Lock,1994-08-04,25,18,Italy,2020
Alessandro Zanni,Lock,1984-01-31,36,117,Italy,2020
Marco Lazzaroni,Back row,1995-05-18,24,4,Italy,2020
Giovanni Licata,Back row,1997-02-18,22,8,Italy,2020
Johan Meyer,Back row,1993-02-26,26,4,Italy,2020
Sebastian Negri,Back row,1994-06-30,25,22,Italy,2020
Giovanni Pettinelli,Back row,1996-03-13,23,0,Italy,2020
Jake Polledri,Back row,1995-11-08,24,13,Italy,2020
Braam Steyn,Back row,1992-05-02,27,36,Italy,2020
Callum Braley,Scrum-half,1994-03-20,25,5,Italy,2020
Guglielmo Palazzani,Scrum-half,1991-04-11,28,36,Italy,2020
Marcello Violi,Scrum-half,1993-10-11,26,15,Italy,2020
Tommaso Allan,Fly-half,1993-04-26,26,54,Italy,2020
Carlo Canna,Fly-half,1992-08-25,27,39,Italy,2020
Antonio Rizzi,Fly-half,1998-01-05,22,0,Italy,2020
Giulio Bisegni,Centre,1992-04-04,27,14,Italy,2020
Tommaso Boni,Centre,1993-01-15,27,11,Italy,2020
Luca Morisi,Centre,1991-02-22,28,29,Italy,2020
Alberto Sgarbi,Centre,1986-11-26,33,29,Italy,2020
Mattia Bellini,Wing,1994-02-08,25,22,Italy,2020
Tommaso Benvenuti,Wing,1990-12-12,29,62,Italy,2020
Leonardo Sarto,Wing,1992-01-15,28,34,Italy,2020
Matteo Minozzi,Wing,1996-06-04,23,16,Italy,2020
Michelangelo Biondelli,Fullback,1998-10-15,21,0,Italy,2020
Jayden Hayward,Fullback,1987-02-11,32,23,Italy,2020
Edoardo Padovani,Fullback,1993-05-15,26,24,Italy,2020
Fraser Brown,Hooker,1989-06-20,30,46,Scotland,2020
Stuart McInally,Hooker,1990-08-09,29,33,Scotland,2020
George Turner,Hooker,1992-10-08,27,9,Scotland,2020
Simon Berghan,Prop,1990-12-07,29,24,Scotland,2020
Jamie Bhatti,Prop,1993-09-08,26,15,Scotland,2020
Allan Dell,Prop,1992-03-16,27,28,Scotland,2020
Zander Fagerson,Prop,1996-01-19,24,25,Scotland,2020
W. P. Nel,Prop,1986-04-30,33,35,Scotland,2020
Rory Sutherland,Prop,1992-08-24,27,3,Scotland,2020
Alex Craig,Lock,1997-04-26,22,0,Scotland,2020
Scott Cummings,Lock,1996-12-03,23,8,Scotland,2020
Grant Gilchrist,Lock,1990-08-09,29,40,Scotland,2020
Jonny Gray,Lock,1994-03-14,25,55,Scotland,2020
Ben Toolis,Lock,1992-03-31,27,22,Scotland,2020
Magnus Bradbury,Back row,1995-08-23,24,11,Scotland,2020
Luke Crosbie,Back row,1997-04-22,22,0,Scotland,2020
Cornell du Preez,Back row,1991-03-23,28,6,Scotland,2020
Thomas Gordon,Back row,1997-01-30,23,0,Scotland,2020
Nick Haining,Back row,1990-09-01,29,0,Scotland,2020
Jamie Ritchie,Back row,1996-08-16,23,14,Scotland,2020
Hamish Watson,Back row,1991-10-15,28,28,Scotland,2020
George Horne,Scrum-half,1995-05-12,24,10,Scotland,2020
Ali Price,Scrum-half,1993-05-12,26,28,Scotland,2020
Henry Pyrgos,Scrum-half,1989-07-09,30,28,Scotland,2020
Adam Hastings,Fly-half,1996-10-05,23,16,Scotland,2020
Finn Russell,Fly-half,1992-09-23,27,49,Scotland,2020
Chris Harris,Centre,1990-12-28,29,14,Scotland,2020
Rory Hutchinson,Centre,1996-01-29,24,3,Scotland,2020
Sam Johnson,Centre,1993-06-19,26,9,Scotland,2020
Huw Jones,Centre,1993-12-17,26,23,Scotland,2020
Matt Scott,Centre,1990-09-30,29,39,Scotland,2020
Darcy Graham,Wing,1997-06-21,22,11,Scotland,2020
Sean Maitland,Wing,1988-09-14,31,44,Scotland,2020
Byron McGuigan,Wing,1989-08-20,30,9,Scotland,2020
Kyle Steyn,Wing,1994-01-29,26,0,Scotland,2020
Ratu Tagive,Wing,1991-04-08,28,0,Scotland,2020
Stuart Hogg,Fullback,1992-06-24,27,72,Scotland,2020
Blair Kinghorn,Fullback,1997-01-18,23,17,Scotland,2020
Lewis Carmichael,Lock,1995-05-02,24,2,Scotland,2020
Sam Skinner,Lock,1995-01-31,25,6,Scotland,2020
Matt Fagerson,Back row,1998-07-16,21,5,Scotland,2020
Duncan Weir,Fly-half,1991-05-10,28,27,Scotland,2020
Elliot Dee,Hooker,1994-03-07,25,29,Wales,2020
Ryan Elias,Hooker,1995-01-07,25,9,Wales,2020
Ken Owens,Hooker,1987-01-03,33,73,Wales,2020
Rhys Carre,Prop,1998-02-08,21,6,Wales,2020
Leon Brown,Prop,1996-10-26,23,6,Wales,2020
Rob Evans,Prop,1992-04-14,27,36,Wales,2020
WillGriff John,Prop,1992-12-04,27,0,Wales,2020
Wyn Jones,Prop,1992-02-26,27,22,Wales,2020
Dillon Lewis,Prop,1996-01-04,24,22,Wales,2020
Jake Ball,Lock,1991-06-27,28,42,Wales,2020
Adam Beard,Lock,1996-01-07,24,20,Wales,2020
Seb Davies,Lock,1996-05-17,23,7,Wales,2020
Cory Hill,Lock,1992-02-10,27,24,Wales,2020
Alun Wyn Jones,Lock,1985-09-19,34,134,Wales,2020
Will Rowlands,Lock,1991-09-19,28,0,Wales,2020
Taulupe Faletau,Back row,1990-11-12,29,72,Wales,2020
Ross Moriarty,Back row,1990-11-12,29,41,Wales,2020
Josh Navidi,Back row,1990-12-30,29,23,Wales,2020
Aaron Shingler,Back row,1987-08-07,32,26,Wales,2020
Justin Tipuric,Back row,1989-08-06,30,72,Wales,2020
Aaron Wainwright,Back row,1997-09-25,22,18,Wales,2020
Gareth Davies,Scrum-half,1990-08-18,29,51,Wales,2020
Rhys Webb,Scrum-half,1988-12-09,31,31,Wales,2020
Tomos Williams,Scrum-half,1995-01-01,25,16,Wales,2020
Dan Biggar,Fly-half,1989-10-16,30,79,Wales,2020
Jarrod Evans,Fly-half,1996-07-25,23,3,Wales,2020
Owen Williams,Fly-half,1992-02-27,27,3,Wales,2020
Hadleigh Parkes,Centre,1987-10-05,32,25,Wales,2020
Nick Tompkins,Centre,1995-02-16,24,0,Wales,2020
Owen Watkin,Centre,1996-10-12,23,22,Wales,2020
Josh Adams,Wing,1995-04-21,24,21,Wales,2020
Owen Lane,Wing,1997-12-20,22,2,Wales,2020
Johnny McNicholl,Wing,1990-09-24,29,0,Wales,2020
George North,Wing,1992-04-13,27,91,Wales,2020
Louis Rees-Zammit,Wing,2001-02-02,18,0,Wales,2020
Leigh Halfpenny,Fullback,1988-12-22,31,85,Wales,2020
Jonah Holmes,Fullback,1992-07-24,27,3,Wales,2020
Liam Williams,Fullback,1991-04-09,28,62,Wales,2020
Luke Cowan-Dickie,Hooker,1993-06-20,25,9,England,2019
Jamie George,Hooker,1990-10-20,28,32,England,2019
Jack Singleton,Hooker,1996-05-14,22,0,England,2019
Dan Cole,Prop,1987-05-09,31,82,England,2019
Ellis Genge,Prop,1995-02-16,23,5,England,2019
Ben Moon,Prop,1989-07-15,29,4,England,2019
Kyle Sinckler,Prop,1992-03-30,26,17,England,2019
Mako Vunipola,Prop,1991-01-14,28,52,England,2019
Harry Williams,Prop,1991-12-01,27,14,England,2019
Maro Itoje,Lock,1994-10-28,24,26,England,2019
George Kruis,Lock,1990-02-22,28,27,England,2019
Joe Launchbury,Lock,1991-04-12,27,54,England,2019
Courtney Lawes,Lock,1989-02-23,29,68,England,2019
Tom Curry,Back row,1998-06-15,20,5,England,2019
Jack Clifford,Back row,1993-02-12,25,7,England,2019
Ben Earl,Back row,1998-01-07,21,0,England,2019
Nathan Hughes,Back row,1991-06-10,27,17,England,2019
Brad Shields,Back row,1991-04-02,27,5,England,2019
Billy Vunipola,Back row,1992-11-03,26,36,England,2019
Mark Wilson,Back row,1989-10-06,29,8,England,2019
Dan Robson,Scrum-half,1992-03-14,26,0,England,2019
Ben Youngs,Scrum-half,1989-09-05,29,80,England,2019
George Ford,Fly-half,1993-03-16,25,51,England,2019
Owen Farrell (c),Fly-half,1991-09-24,27,65,England,2019
Henry Slade,Centre,1993-03-19,25,17,England,2019
Ollie Devoto,Centre,1993-09-22,25,1,England,2019
Ben Te'o,Centre,1987-01-27,32,16,England,2019
Manu Tuilagi,Centre,1991-05-18,27,27,England,2019
Chris Ashton,Wing,1987-03-29,31,42,England,2019
Joe Cokanasiga,Wing,1997-11-15,21,2,England,2019
Elliot Daly,Wing,1992-10-08,26,25,England,2019
Jonny May,Wing,1990-04-01,28,40,England,2019
Jack Nowell,Wing,1993-04-11,25,29,England,2019
Ollie Thorley,Wing,1996-09-11,22,0,England,2019
Mike Brown,Fullback,1985-09-04,33,72,England,2019
Nick Isiekwe,Lock,1998-04-20,20,3,England,2019
Chris Robshaw,Back row,1986-06-04,32,66,England,2019
Jonathan Joseph,Centre,1991-05-21,27,40,England,2019
Pierre Bourgarit,Hooker,1997-09-12,21,1,France,2019
Guilhem Guirado (c),Hooker,1986-06-17,32,63,France,2019
Julien Marchand,Hooker,1995-05-10,23,1,France,2019
Dorian Aldegheri,Prop,1993-08-04,25,0,France,2019
Uini Atonio,Prop,1990-03-26,28,31,France,2019
Demba Bamba,Prop,1998-03-17,20,1,France,2019
Jefferson Poirot,Prop,1992-11-01,26,22,France,2019
Dany Priso,Prop,1994-01-02,25,10,France,2019
Arthur Iturria,Lock,1994-05-13,24,6,France,2019
Félix Lambey,Lock,1994-03-15,24,2,France,2019
Sébastien Vahaamahina,Lock,1991-10-21,27,36,France,2019
Paul Willemse,Lock,1992-11-13,26,0,France,2019
Gregory Alldritt,Back row,1997-03-23,21,0,France,2019
Yacouba Camara,Back row,1994-06-02,24,11,France,2019
Wenceslas Lauret,Back row,1988-03-30,30,20,France,2019
Bernard Le Roux,Back row,1989-06-04,29,11,France,2019
Louis Picamoles,Back row,1986-02-05,32,72,France,2019
Antoine Dupont,Scrum-half,1996-11-15,22,10,France,2019
Morgan Parra,Scrum-half,1988-11-15,30,69,France,2019
Baptiste Serin,Scrum-half,1994-06-20,24,23,France,2019
Anthony Belleau,Fly-half,1996-04-08,22,10,France,2019
Camille Lopez,Fly-half,1989-04-03,29,19,France,2019
Romain Ntamack,Fly-half,1999-05-01,19,0,France,2019
Mathieu Bastareaud,Centre,1988-09-17,30,50,France,2019
Geoffrey Doumayrou,Centre,1989-09-16,29,10,France,2019
Gaël Fickou,Centre,1994-03-26,24,41,France,2019
Wesley Fofana,Centre,1988-01-20,31,45,France,2019
Damian Penaud,Centre,1996-09-25,22,6,France,2019
Yoann Huget,Wing,1987-06-02,31,53,France,2019
Maxime Médard,Fullback,1986-11-16,32,52,France,2019
Thomas Ramos,Fullback,1995-07-23,23,0,France,2019
Camille Chat,Hooker,1995-12-18,23,16,France,2019
Etienne Falgoux,Prop,1993-01-19,26,0,France,2019
Kélian Galletier,Back row,1992-03-18,26,6,France,2019
Fabien Sanconnie,Back row,1995-02-21,23,5,France,2019
Rory Best (c),Hooker,1982-08-15,36,113,Ireland,2019
Seán Cronin,Hooker,1986-05-06,32,65,Ireland,2019
Niall Scannell,Hooker,1992-04-08,26,11,Ireland,2019
Tadhg Furlong,Prop,1992-11-14,26,28,Ireland,2019
Cian Healy,Prop,1987-10-07,31,84,Ireland,2019
Dave Kilcoyne,Prop,1988-12-14,30,24,Ireland,2019
Jack McGrath,Prop,1989-10-11,29,53,Ireland,2019
Andrew Porter,Prop,1996-01-16,23,11,Ireland,2019
John Ryan,Prop,1988-08-02,30,16,Ireland,2019
Tadhg Beirne,Lock,1992-01-08,27,4,Ireland,2019
Ultan Dillane,Lock,1993-11-09,25,11,Ireland,2019
Iain Henderson,Lock,1992-02-21,26,42,Ireland,2019
James Ryan,Lock,1996-07-24,22,13,Ireland,2019
Devin Toner,Lock,1986-06-29,32,63,Ireland,2019
Jack Conan,Back row,1992-07-29,26,11,Ireland,2019
Jordi Murphy,Back row,1991-04-22,27,26,Ireland,2019
Seán O'Brien,Back row,1987-02-14,31,52,Ireland,2019
Peter O'Mahony (vc),Back row,1989-09-17,29,52,Ireland,2019
Rhys Ruddock,Back row,1990-11-13,28,21,Ireland,2019
CJ Stander,Back row,1990-04-05,28,28,Ireland,2019
Josh van der Flier,Back row,1993-04-25,25,13,Ireland,2019
Caolin Blade,Scrum-half,1994-04-29,24,0,Ireland,2019
John Cooney,Scrum-half,1990-05-01,28,4,Ireland,2019
Conor Murray,Scrum-half,1989-04-20,29,67,Ireland,2019
Joey Carbery,Fly-half,1995-11-01,23,16,Ireland,2019
Jack Carty,Fly-half,1992-08-31,26,0,Ireland,2019
Johnny Sexton (vc),Fly-half,1985-07-11,33,78,Ireland,2019
Will Addison,Centre,1992-08-20,26,3,Ireland,2019
Bundee Aki,Centre,1990-04-07,28,12,Ireland,2019
Chris Farrell,Centre,1993-03-16,25,3,Ireland,2019
Tom Farrell,Centre,1993-10-01,25,0,Ireland,2019
Robbie Henshaw,Centre,1993-06-12,25,36,Ireland,2019
Garry Ringrose,Centre,1995-01-26,24,17,Ireland,2019
Andrew Conway,Wing,1991-07-11,27,10,Ireland,2019
Keith Earls,Wing,1987-10-02,31,72,Ireland,2019
Jacob Stockdale,Wing,1996-04-06,22,14,Ireland,2019
Rob Kearney,Fullback,1986-03-26,32,87,Ireland,2019
Jordan Larmour,Fullback,1997-06-10,21,9,Ireland,2019
Quinn Roux,Lock,1990-10-30,28,7,Ireland,2019
Luca Bigi,Hooker,1991-04-19,27,15,Italy,2019
Leonardo Ghiraldini,Hooker,1984-12-26,34,99,Italy,2019
Simone Ferrari,Prop,1994-03-28,24,17,Italy,2019
Andrea Lovotti,Prop,1989-07-28,29,30,Italy,2019
Tiziano Pasquali,Prop,1994-07-14,24,13,Italy,2019
Cherif Traorè,Prop,1994-04-10,24,5,Italy,2019
Giosuè Zilocchi,Prop,1997-01-15,22,2,Italy,2019
Dean Budd,Lock,1986-07-31,32,16,Italy,2019
Federico Ruzza,Lock,1994-08-04,24,7,Italy,2019
Dave Sisi,Lock,1993-02-05,25,0,Italy,2019
Alessandro Zanni,Lock,1984-01-31,35,109,Italy,2019
Marco Barbini,Back row,1990-10-16,28,2,Italy,2019
Maxime Mbanda,Back row,1993-04-10,25,15,Italy,2019
Sebastian Negri,Back row,1994-06-30,24,12,Italy,2019
Sergio Parisse (c),Back row,1983-09-12,35,134,Italy,2019
Braam Steyn,Back row,1992-05-02,26,25,Italy,2019
Jimmy Tuivaiti,Back row,1988-01-02,31,1,Italy,2019
Guglielmo Palazzani,Scrum-half,1991-04-11,27,28,Italy,2019
Tito Tebaldi,Scrum-half,1987-09-23,31,29,Italy,2019
Tommaso Allan,Fly-half,1993-04-26,25,43,Italy,2019
Carlo Canna,Fly-half,1992-08-25,26,32,Italy,2019
Ian McKinley,Fly-half,1989-12-04,29,4,Italy,2019
Giulio Bisegni,Centre,1992-04-04,26,11,Italy,2019
